"Bezeichnung"	"Zeitraum"	"01.05."	"02.05."	"03.05."	"04.05."	"05.05."	"06.05."	"07.05."	"08.05."	"09.05."	"10.05."	"11.05."	"12.05."	"13.05."	"14.05."	"15.05."	"16.05."	"17.05."	"18.05."	"19.05."	"20.05."	"21.05."	"22.05."	"23.05."	"24.05."	"25.05."	"26.05."	"27.05."	"28.05."	"29.05."	"30.05."	"31.05."
"Campus"	"€ 2437,49"	""	"€ 74,45"	"€ 42,28"	"€ 141,07"	"€ 80,09"	"€ 95,47"	"€ 111,73"	"€ 118,16"	"€ 79,21"	"€ 63,54"	"€ 87,04"	"€ 86,02"	"€ 113,87"	"€ 93,42"	"€ 96,05"	"€ 76,42"	"€ 63,43"	"€ 74,79"	"€ 105,84"	"€ 114,59"	"€ 93,85"	"€ 96,50"	"€ 75,85"	"€ 54,14"	"€ 56,18"	"€ 77,39"	"€ 93,52"	"€ 75,48"	""	"€ 62,70"	"€ 34,41"
"Gesamt"	"€ 2437,49"	""	"€ 74,45"	"€ 42,28"	"€ 141,07"	"€ 80,09"	"€ 95,47"	"€ 111,73"	"€ 118,16"	"€ 79,21"	"€ 63,54"	"€ 87,04"	"€ 86,02"	"€ 113,87"	"€ 93,42"	"€ 96,05"	"€ 76,42"	"€ 63,43"	"€ 74,79"	"€ 105,84"	"€ 114,59"	"€ 93,85"	"€ 96,50"	"€ 75,85"	"€ 54,14"	"€ 56,18"	"€ 77,39"	"€ 93,52"	"€ 75,48"	""	"€ 62,70"	"€ 34,41"
